## Strong Edge Colouring Graphs No Restrict: 17950 flags
0;5;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0
1;5;0,0,0,0,0,0,1,1,1,1;0,0,0,0,0
2;5;0,0,0,0,0,0,1,1,1,1;0,0,0,0,1
3;5;0,0,0,0,0,0,1,1,1,1;1,0,0,0,0
4;5;0,0,0,0,0,0,1,1,1,1;1,0,0,0,1
5;5;0,0,0,0,0,0,1,1,1,1;1,1,0,0,0
6;5;0,0,0,0,0,0,1,1,1,1;1,1,0,0,1
7;5;0,0,0,0,0,0,1,1,1,1;1,1,1,0,0
8;5;0,0,0,0,0,0,1,1,1,1;1,1,1,0,1
9;5;0,0,0,0,0,0,1,1,1,1;1,1,1,1,0
10;5;0,0,0,0,0,0,1,1,1,2;0,0,0,0,0
11;5;0,0,0,0,0,0,1,1,1,2;0,0,0,0,1
12;5;0,0,0,0,0,0,1,1,1,2;0,0,0,1,0
13;5;0,0,0,0,0,0,1,1,1,2;0,0,0,1,1
14;5;0,0,0,0,0,0,1,1,1,2;1,0,0,0,0
15;5;0,0,0,0,0,0,1,1,1,2;1,0,0,0,1
16;5;0,0,0,0,0,0,1,1,1,2;1,0,0,1,0
17;5;0,0,0,0,0,0,1,1,1,2;1,0,0,1,1
18;5;0,0,0,0,0,0,1,1,1,2;1,1,0,0,0
19;5;0,0,0,0,0,0,1,1,1,2;1,1,0,0,1
20;5;0,0,0,0,0,0,1,1,1,2;1,1,0,1,0
21;5;0,0,0,0,0,0,1,1,1,2;1,1,0,1,1
22;5;0,0,0,0,0,0,1,1,1,2;1,1,1,0,0
23;5;0,0,0,0,0,0,1,1,1,2;1,1,1,0,1
24;5;0,0,0,0,0,0,1,1,1,2;1,1,1,1,0
25;5;0,0,0,0,0,0,1,1,2,2;0,0,0,0,0
26;5;0,0,0,0,0,0,1,1,2,2;0,0,0,0,1
27;5;0,0,0,0,0,0,1,1,2,2;0,0,1,0,0
28;5;0,0,0,0,0,0,1,1,2,2;0,0,1,0,1
29;5;0,0,0,0,0,0,1,1,2,2;0,0,1,1,0
30;5;0,0,0,0,0,0,1,1,2,2;0,0,1,1,1
31;5;0,0,0,0,0,0,1,1,2,2;1,0,0,0,0
32;5;0,0,0,0,0,0,1,1,2,2;1,0,0,0,1
33;5;0,0,0,0,0,0,1,1,2,2;1,0,1,0,0
34;5;0,0,0,0,0,0,1,1,2,2;1,0,1,0,1
35;5;0,0,0,0,0,0,1,1,2,2;1,0,1,1,0
36;5;0,0,0,0,0,0,1,1,2,2;1,0,1,1,1
37;5;0,0,0,0,0,0,1,1,2,2;1,1,0,0,0
38;5;0,0,0,0,0,0,1,1,2,2;1,1,0,0,1
39;5;0,0,0,0,0,0,1,1,2,2;1,1,1,0,0
40;5;0,0,0,0,0,0,1,1,2,2;1,1,1,0,1
41;5;0,0,0,0,0,0,1,1,2,2;1,1,1,1,0
42;5;0,0,0,0,0,0,1,2,2,2;0,0,0,0,0
43;5;0,0,0,0,0,0,1,2,2,2;0,0,0,0,1
44;5;0,0,0,0,0,0,1,2,2,2;0,1,0,0,0
45;5;0,0,0,0,0,0,1,2,2,2;0,1,0,0,1
46;5;0,0,0,0,0,0,1,2,2,2;0,1,1,0,0
47;5;0,0,0,0,0,0,1,2,2,2;0,1,1,0,1
48;5;0,0,0,0,0,0,1,2,2,2;0,1,1,1,0
49;5;0,0,0,0,0,0,1,2,2,2;0,1,1,1,1
50;5;0,0,0,0,0,0,1,2,2,2;1,0,0,0,0
51;5;0,0,0,0,0,0,1,2,2,2;1,0,0,0,1
52;5;0,0,0,0,0,0,1,2,2,2;1,1,0,0,0
53;5;0,0,0,0,0,0,1,2,2,2;1,1,0,0,1
54;5;0,0,0,0,0,0,1,2,2,2;1,1,1,0,0
55;5;0,0,0,0,0,0,1,2,2,2;1,1,1,0,1
56;5;0,0,0,0,0,0,1,2,2,2;1,1,1,1,0
57;5;0,0,0,0,0,0,2,2,2,2;0,0,0,0,0
