## Bipartite SEC Graphs: 3808 flags
0;5;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0
1;5;0,0,0,0,0,0,0,0,0,0;1,0,0,0,0
2;5;0,0,0,0,0,0,0,0,0,0;1,1,0,0,0
3;5;0,0,0,0,0,0,0,0,0,0;1,1,1,0,0
4;5;0,0,0,0,0,0,0,0,0,0;1,1,1,1,0
5;5;0,0,0,0,0,0,0,0,0,0;1,1,1,1,1
6;5;0,0,0,0,0,0,1,1,1,1;0,0,0,0,1
7;5;0,0,0,0,0,0,1,1,1,1;0,0,0,0,3
8;5;0,0,0,0,0,0,1,1,1,1;1,1,1,1,0
9;5;0,0,0,0,0,0,1,1,1,1;1,1,1,1,2
10;5;0,0,0,0,0,0,1,1,1,1;2,0,0,0,1
11;5;0,0,0,0,0,0,1,1,1,1;2,0,0,0,3
12;5;0,0,0,0,0,0,1,1,1,1;2,2,0,0,1
13;5;0,0,0,0,0,0,1,1,1,1;2,2,0,0,3
14;5;0,0,0,0,0,0,1,1,1,1;2,2,2,0,1
15;5;0,0,0,0,0,0,1,1,1,1;2,2,2,0,3
16;5;0,0,0,0,0,0,1,1,1,1;2,2,2,2,1
17;5;0,0,0,0,0,0,1,1,1,1;3,1,1,1,0
18;5;0,0,0,0,0,0,1,1,1,1;3,1,1,1,2
19;5;0,0,0,0,0,0,1,1,1,1;3,3,1,1,0
20;5;0,0,0,0,0,0,1,1,1,1;3,3,1,1,2
21;5;0,0,0,0,0,0,1,1,1,1;3,3,3,1,0
22;5;0,0,0,0,0,0,1,1,1,1;3,3,3,1,2
23;5;0,0,0,0,0,0,1,1,1,1;3,3,3,3,0
24;5;0,0,0,0,0,0,1,1,1,2;0,0,0,0,1
25;5;0,0,0,0,0,0,1,1,1,2;0,0,0,0,3
26;5;0,0,0,0,0,0,1,1,1,2;0,0,0,2,1
27;5;0,0,0,0,0,0,1,1,1,2;0,0,0,2,3
28;5;0,0,0,0,0,0,1,1,1,2;1,1,1,1,0
29;5;0,0,0,0,0,0,1,1,1,2;1,1,1,1,2
30;5;0,0,0,0,0,0,1,1,1,2;1,1,1,3,0
31;5;0,0,0,0,0,0,1,1,1,2;1,1,1,3,2
32;5;0,0,0,0,0,0,1,1,1,2;2,0,0,0,1
33;5;0,0,0,0,0,0,1,1,1,2;2,0,0,0,3
34;5;0,0,0,0,0,0,1,1,1,2;2,0,0,2,1
35;5;0,0,0,0,0,0,1,1,1,2;2,0,0,2,3
36;5;0,0,0,0,0,0,1,1,1,2;2,2,0,0,1
37;5;0,0,0,0,0,0,1,1,1,2;2,2,0,0,3
38;5;0,0,0,0,0,0,1,1,1,2;2,2,0,2,1
39;5;0,0,0,0,0,0,1,1,1,2;2,2,0,2,3
40;5;0,0,0,0,0,0,1,1,1,2;2,2,2,0,1
41;5;0,0,0,0,0,0,1,1,1,2;2,2,2,0,3
42;5;0,0,0,0,0,0,1,1,1,2;2,2,2,2,1
43;5;0,0,0,0,0,0,1,1,1,2;3,1,1,1,0
44;5;0,0,0,0,0,0,1,1,1,2;3,1,1,1,2
45;5;0,0,0,0,0,0,1,1,1,2;3,1,1,3,0
46;5;0,0,0,0,0,0,1,1,1,2;3,1,1,3,2
47;5;0,0,0,0,0,0,1,1,1,2;3,3,1,1,0
48;5;0,0,0,0,0,0,1,1,1,2;3,3,1,1,2
49;5;0,0,0,0,0,0,1,1,1,2;3,3,1,3,0
50;5;0,0,0,0,0,0,1,1,1,2;3,3,1,3,2
51;5;0,0,0,0,0,0,1,1,1,2;3,3,3,1,0
52;5;0,0,0,0,0,0,1,1,1,2;3,3,3,1,2
53;5;0,0,0,0,0,0,1,1,1,2;3,3,3,3,0
54;5;0,0,0,0,0,0,1,1,2,2;0,0,0,0,1
55;5;0,0,0,0,0,0,1,1,2,2;0,0,0,0,3
56;5;0,0,0,0,0,0,1,1,2,2;0,0,2,0,1
57;5;0,0,0,0,0,0,1,1,2,2;0,0,2,0,3
58;5;0,0,0,0,0,0,1,1,2,2;0,0,2,2,1
59;5;0,0,0,0,0,0,1,1,2,2;0,0,2,2,3
60;5;0,0,0,0,0,0,1,1,2,2;1,1,1,1,0
61;5;0,0,0,0,0,0,1,1,2,2;1,1,1,1,2
62;5;0,0,0,0,0,0,1,1,2,2;1,1,3,1,0
63;5;0,0,0,0,0,0,1,1,2,2;1,1,3,1,2
64;5;0,0,0,0,0,0,1,1,2,2;1,1,3,3,0
65;5;0,0,0,0,0,0,1,1,2,2;1,1,3,3,2
66;5;0,0,0,0,0,0,1,1,2,2;2,0,0,0,1
67;5;0,0,0,0,0,0,1,1,2,2;2,0,0,0,3
68;5;0,0,0,0,0,0,1,1,2,2;2,0,2,0,1
69;5;0,0,0,0,0,0,1,1,2,2;2,0,2,0,3
70;5;0,0,0,0,0,0,1,1,2,2;2,0,2,2,1
71;5;0,0,0,0,0,0,1,1,2,2;2,0,2,2,3
72;5;0,0,0,0,0,0,1,1,2,2;2,2,0,0,1
